Discipline,HPSA ID,HPSA Name,Designation Type,State,County Name,HPSA Score,Status,Rural Status,Record Type,Site Address,Site City,Site ZIP
Dental Health,6542024373,LI-Wetzel County,Low Income Population HPSA,West Virginia,Wetzel,18,Designated,Rural,Geographic,,,
Dental Health,6541609886,LI-Jackson County,Low Income Population HPSA,West Virginia,Jackson,17,Designated,Rural,Geographic,,,
Dental Health,6543435432,McDowell County,High Needs Geographic HPSA,West Virginia,McDowell,22,Designated,Rural,Geographic,,,
Dental Health,6544123332,LI - Monroe County,Low Income Population HPSA,West Virginia,Monroe,18,Designated,Rural,Geographic,,,
Dental Health,6549940865,LI - Morgan County,Low Income Population HPSA,West Virginia,Morgan,16,Designated,Rural,Geographic,,,
Dental Health,6543043137,LI - Tyler County,Low Income Population HPSA,West Virginia,Tyler,16,Designated,Rural,Geographic,,,
Dental Health,6549995469,ST GEORGE MEDICAL CLINIC INC.,Federally Qualified Health Center,West Virginia,Tucker,12,Designated,Rural,Site,6362 Appalachian Hwy,Davis,26260-8271
Mental Health,7548256322,LI - Marion County,Low Income Population HPSA,West Virginia,Marion,17,Designated,Rural,Geographic,,,
Dental Health,6545535360,LI - Marshall County,Low Income Population HPSA,West Virginia,Marshall,17,Designated,Partially Rural,Geographic,,,
Mental Health,7542162363,LI - Marshall County,Low Income Population HPSA,West Virginia,Marshall,17,Designated,Partially Rural,Geographic,,,
Primary Care,1545983587,LI - Marshall County,Low Income Population HPSA,West Virginia,Marshall,17,Designated,Partially Rural,Geographic,,,
Primary Care,1549995482,PRESTON TAYLOR COMMUNITY HEALTH CENTERS INC,Federally Qualified Health Center,West Virginia,Taylor,22,Designated,Rural,Site,216 Lincoln St,Grafton,26354-1442
Primary Care,1549995472,VALLEY HEALTH SYSTEMS INC,Federally Qualified Health Center,West Virginia,Cabell,19,Designated,Non-Rural,Site,252 Rural Acres Dr,Beckley,25801-3503
Primary Care,154999540B,BELINGTON COMMUNITY MEDICAL SERVICES ASSOCIATION,Federally Qualified Health Center,West Virginia,Barbour,14,Designated,Rural,Site,95 S Crim Ave,Belington,26250-8416
Mental Health,7549995447,BELINGTON COMMUNITY MEDICAL SERVICES ASSOCIATION,Federally Qualified Health Center,West Virginia,Barbour,19,Designated,Rural,Site,95 S Crim Ave,Belington,26250-8416
Dental Health,6549995474,BELINGTON COMMUNITY MEDICAL SERVICES ASSOCIATION,Federally Qualified Health Center,West Virginia,Barbour,17,Designated,Rural,Site,95 S Crim Ave,Belington,26250-8416
Primary Care,154999540H,BOONE MEMORIAL HOSPITAL MEDICAL CLINIC,Rural Health Clinic,West Virginia,Boone,20,Designated,Rural,Site,660A S Main St,Madison,25130-1245
Mental Health,7549995465,BOONE MEMORIAL HOSPITAL MEDICAL CLINIC,Rural Health Clinic,West Virginia,Boone,18,Designated,Rural,Site,660A S Main St,Madison,25130-1245
Dental Health,654999540A,BOONE MEMORIAL HOSPITAL MEDICAL CLINIC,Rural Health Clinic,West Virginia,Boone,17,Designated,Rural,Site,660A S Main St,Madison,25130-1245
Primary Care,1549995486,"CABIN CREEK HEALTH SYSTEMS, INC.",Federally Qualified Health Center,West Virginia,Kanawha,20,Designated,Non-Rural,Site,104 Alex Ln,Charleston,25304-2952
Mental Health,7549995432,"CABIN CREEK HEALTH SYSTEMS, INC.",Federally Qualified Health Center,West Virginia,Kanawha,21,Designated,Non-Rural,Site,104 Alex Ln,Charleston,25304-2952
Dental Health,6549995456,"CABIN CREEK HEALTH SYSTEMS, INC.",Federally Qualified Health Center,West Virginia,Kanawha,23,Designated,Non-Rural,Site,104 Alex Ln,Charleston,25304-2952
Primary Care,1549995494,MINNIE HAMILTON HEALTH CARE CENTER INC,Federally Qualified Health Center,West Virginia,Calhoun,18,Designated,Rural,Site,5260 E Little Kanawha Hwy,Grantsville,26147-8167
Primary Care,1545145953,"MONONGAHELA VALLEY ASSOCIATION OF HEALTH CENTERS, INC",Federally Qualified Health Center,West Virginia,Marion,17,Designated,Rural,Site,1993 Airport Rd,Fairmont,26554-9138
Primary Care,15499954AT,RURAL HEALTH ACCESS CORPORATION,Federally Qualified Health Center Look-alike,West Virginia,Logan,21,Designated,Rural,Site,462 Main St,Chapmanville,25508-4574
Primary Care,1549995480,CLAY-BATTELLE HEALTH SERVICES ASSOCIATION,Federally Qualified Health Center,West Virginia,Monongalia,9,Designated,Non-Rural,Site,5861 Mason Dixon Hwy,Blacksville,26521-8300
Primary Care,1549995481,LINCOLN COUNTY PRIMARY CARE CENTER INC,Federally Qualified Health Center,West Virginia,Lincoln,23,Designated,Rural,Site,8130 Court Ave,Hamlin,25523-1434
Mental Health,7549995426,LINCOLN COUNTY PRIMARY CARE CENTER INC,Federally Qualified Health Center,West Virginia,Lincoln,22,Designated,Rural,Site,8130 Court Ave,Hamlin,25523-1434
Dental Health,6549995451,LINCOLN COUNTY PRIMARY CARE CENTER INC,Federally Qualified Health Center,West Virginia,Lincoln,23,Designated,Rural,Site,8130 Court Ave,Hamlin,25523-1434
Primary Care,1549995483,MONROE COUNTY HEALTH DEPARTMENT,Federally Qualified Health Center,West Virginia,Monroe,18,Designated,Rural,Site,21 Health Center Dr,Union,24983-8443
Primary Care,1549995491,ROANE COUNTY FAMILY HEALTH CARE,Federally Qualified Health Center,West Virginia,Roane,20,Designated,Rural,Site,146 Williams Dr,Spencer,25276-1826
Mental Health,7549995438,ROANE COUNTY FAMILY HEALTH CARE,Federally Qualified Health Center,West Virginia,Roane,17,Designated,Rural,Site,146 Williams Dr,Spencer,25276-1826
Dental Health,6549995462,ROANE COUNTY FAMILY HEALTH CARE,Federally Qualified Health Center,West Virginia,Roane,19,Designated,Rural,Site,146 Williams Dr,Spencer,25276-1826
Primary Care,1549995468,"WOMENCARE, INC",Federally Qualified Health Center,West Virginia,Putnam,20,Designated,Non-Rural,Site,2 Chateau Grove Ln,Barboursville,25504-1626
