ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a Public School based table with the following filters applied: State(s) (All Years): WEST VIRGINIA

School Name,State Name [Public School] Latest available year,School ID (7-digit) – NCES Assigned [Public School] 2024-25,School Name [Public School] 2024-25,County Name [Public School] 2024-25,Locale [Public School] 2024-25,Locale [Public School] 2023-24,Locale [Public School] 2022-23,Locale [Public School] 2021-22,Locale [Public School] 2020-21,Locale [Public School] 2019-20,Locale [Public School] 2018-19,Locale [Public School] 2017-18,Locale [Public School] 2016-17,Locale [Public School] 2015-16,Locale [Public School] 2014-15,Total Students All Grades (Excludes AE) [Public School] 2024-25,Total Students All Grades (Excludes AE) [Public School] 2023-24,Total Students All Grades (Excludes AE) [Public School] 2022-23,Total Students All Grades (Excludes AE) [Public School] 2021-22,Total Students All Grades (Excludes AE) [Public School] 2020-21,Total Students All Grades (Excludes AE) [Public School] 2019-20,Total Students All Grades (Excludes AE) [Public School] 2018-19,Total Students All Grades (Excludes AE) [Public School] 2017-18,Total Students All Grades (Excludes AE) [Public School] 2016-17,Total Students All Grades (Excludes AE) [Public School] 2015-16,Total Students All Grades (Excludes AE) [Public School] 2014-15,Free Lunch Eligible [Public School] 2024-25,Free Lunch Eligible [Public School] 2023-24,Free Lunch Eligible [Public School] 2022-23,Free Lunch Eligible [Public School] 2021-22,Free Lunch Eligible [Public School] 2020-21,Free Lunch Eligible [Public School] 2019-20,Free Lunch Eligible [Public School] 2018-19,Free Lunch Eligible [Public School] 2017-18,Free Lunch Eligible [Public School] 2016-17,Free Lunch Eligible [Public School] 2015-16,Free Lunch Eligible [Public School] 2014-15,Reduced-price Lunch Eligible Students [Public School] 2024-25,Reduced-price Lunch Eligible Students [Public School] 2023-24,Reduced-price Lunch Eligible Students [Public School] 2022-23,Reduced-price Lunch Eligible Students [Public School] 2021-22,Reduced-price Lunch Eligible Students [Public School] 2020-21,Reduced-price Lunch Eligible Students [Public School] 2019-20,Reduced-price Lunch Eligible Students [Public School] 2018-19,Reduced-price Lunch Eligible Students [Public School] 2017-18,Reduced-price Lunch Eligible Students [Public School] 2016-17,Reduced-price Lunch Eligible Students [Public School] 2015-16,Reduced-price Lunch Eligible Students [Public School] 2014-15,Free and Reduced Lunch Students [Public School] 2024-25,Free and Reduced Lunch Students [Public School] 2023-24,Free and Reduced Lunch Students [Public School] 2022-23,Free and Reduced Lunch Students [Public School] 2021-22,Free and Reduced Lunch Students [Public School] 2020-21,Free and Reduced Lunch Students [Public School] 2019-20,Free and Reduced Lunch Students [Public School] 2018-19,Free and Reduced Lunch Students [Public School] 2017-18,Free and Reduced Lunch Students [Public School] 2016-17,Free and Reduced Lunch Students [Public School] 2015-16,Free and Reduced Lunch Students [Public School] 2014-15
DINGESS ELEMENTARY SCHOOL,West Virginia,5400736,Dingess Elementary School,Mingo County,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,110,110,132,148,166,178,195,192,154,160,164,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,140,152,152,162,94,110,106
DIVIDE ELEMENTARY,West Virginia,5400175,Divide Elementary,Fayette County,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,189,198,212,208,210,219,232,227,221,226,232,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,94,99,99,146,75,86,80
DIXIE ELEMENTARY SCHOOL,West Virginia,†,†,†,†,†,†,†,†,†,†,†,†,42-Rural: Distant,42-Rural: Distant,†,†,†,†,†,†,†,†,†,41,55,†,†,†,†,†,†,†,†,†,31,38,†,†,†,†,†,†,†,†,†,3,6,†,†,†,†,†,†,†,†,†,34,44
DODDRIDGE COUNTY EARLY LEARNING ACADEMY,West Virginia,5401493,Doddridge County Early Learning Academy,Doddridge County,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,170,181,164,72,66,63,70,72,68,81,70,–,–,–,–,–,–,–,–,–,–,45,–,–,–,–,–,–,–,–,–,–,3,–,–,–,–,43,39,39,47,39,45,48
DODDRIDGE COUNTY ELEMENTARY SCHOOL,West Virginia,5401059,Doddridge County Elementary School,Doddridge County,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,331,313,300,355,374,396,409,419,429,424,422,–,–,–,–,–,–,–,–,–,–,190,–,–,–,–,–,–,–,–,–,–,40,–,–,–,–,200,202,202,228,174,181,230
DODDRIDGE COUNTY HIGH SCHOOL,West Virginia,5400159,Doddridge County High School,Doddridge County,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,355,344,327,321,322,311,293,305,351,342,346,–,–,–,–,–,–,–,–,–,–,132,–,–,–,–,–,–,–,–,–,–,27,–,–,–,–,128,114,114,140,100,120,159
DODDRIDGE COUNTY MIDDLE SCHOOL,West Virginia,5400043,Doddridge County Middle School,Doddridge County,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,352,325,328,334,340,351,352,322,332,337,322,–,–,–,–,–,–,–,–,–,–,144,–,–,–,–,–,–,–,–,–,–,30,–,–,–,–,165,152,152,174,116,134,174
DONALD R. KUHN JUVENILE CENTER,West Virginia,†,†,†,†,†,†,†,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,†,†,†,†,14,0,†,–,30,34,42,†,†,†,†,–,–,–,–,26,31,39,†,†,†,†,–,–,–,–,0,0,0,†,†,†,†,4,9,9,–,26,31,39
DORCAS ELEMENTARY SCHOOL,West Virginia,†,†,†,†,†,†,†,†,†,†,†,†,42-Rural: Distant,42-Rural: Distant,†,†,†,†,†,†,†,†,†,0,0,†,†,†,†,†,†,†,†,†,†,0,†,†,†,†,†,†,†,†,†,†,0,†,†,†,†,†,†,†,†,†,†,0
DRISWOOD ELEMENTARY SCHOOL,West Virginia,5401478,Driswood Elementary School,Jefferson County,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,348,351,379,396,401,453,469,478,486,491,500,–,–,–,–,–,–,–,–,143,138,121,–,–,–,–,–,–,–,–,16,15,18,–,–,–,–,163,210,210,185,159,153,139
DU PONT MIDDLE SCHOOL,West Virginia,5400384,Du Pont Middle School,Kanawha County,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,440,407,423,313,332,328,330,330,340,359,361,–,–,–,–,–,–,–,–,–,–,164,–,–,–,–,–,–,–,–,–,–,37,–,–,–,–,194,187,187,184,127,156,201
DUNBAR INTERMEDIATE CENTER,West Virginia,5401124,Dunbar Intermediate Center,Kanawha County,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,232,247,252,257,262,289,290,281,305,303,301,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,181,200,200,172,159,164,143
DUNBAR MIDDLE SCHOOL,West Virginia,5400382,Dunbar Middle School,Kanawha County,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,325,297,300,322,357,368,375,392,393,416,391,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,227,227,227,236,195,215,163
DUNBAR PRIMARY CENTER,West Virginia,5400380,Dunbar Primary Center,Kanawha County,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,271,271,297,289,263,279,312,300,303,309,306,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,200,202,202,202,172,189,180
DUNLOW ELEMENTARY SCHOOL,West Virginia,5401099,Dunlow Elementary School,Wayne County,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,54,82,83,86,82,78,92,97,89,91,88,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,47,65,65,85,48,60,47
DUVAL PK-8,West Virginia,5401236,Duval PK-8,Lincoln County,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,300,319,351,408,439,492,502,521,519,543,551,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,261,354,354,355,273,316,283
EAGLE SCHOOL INTERMEDIATE,West Virginia,5401121,Eagle School Intermediate,Berkeley County,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,619,626,645,676,711,723,719,708,747,785,761,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,445,477,477,474,454,391,342
EAST BANK MIDDLE SCHOOL,West Virginia,5400386,East Bank Middle School,Kanawha County,41-Rural: Fringe,41-Rural: Fringe,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,227,243,254,308,341,360,384,402,390,373,375,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,237,248,248,223,192,200,186
EAST DALE ELEMENTARY SCHOOL,West Virginia,5400550,East Dale Elementary School,Marion County,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,352,362,348,368,405,451,488,503,487,486,517,–,–,–,–,–,–,–,–,215,222,214,–,–,–,–,–,–,–,–,23,17,20,–,–,–,–,170,244,244,258,238,239,234
EAST FAIRMONT HIGH SCHOOL,West Virginia,5400551,East Fairmont High School,Marion County,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,725,700,689,707,724,706,710,733,740,766,755,–,–,–,–,–,–,–,–,261,263,232,–,–,–,–,–,–,–,–,50,54,52,–,–,–,–,302,276,276,298,311,317,284
EAST FAIRMONT MIDDLE SCHOOL,West Virginia,5400627,East Fairmont Middle School,Marion County,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,647,712,723,738,738,719,698,679,711,708,761,–,–,–,–,–,–,–,–,296,297,279,–,–,–,–,–,–,–,–,55,44,59,–,–,–,–,335,331,331,314,351,341,338
EAST HARDY ELEMENTARY SCHOOL,West Virginia,5400056,East Hardy Elementary School,Hardy County,43-Rural: Remote,43-Rural: Remote,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,364,331,339,426,454,472,476,498,527,532,515,–,–,–,–,–,–,–,–,–,–,251,–,–,–,–,–,–,–,–,–,–,38,–,–,–,–,222,244,244,279,227,221,289
EAST HARDY HIGH SCHOOL,West Virginia,5401279,East Hardy High School,Hardy County,43-Rural: Remote,43-Rural: Remote,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,290,306,313,204,224,218,236,232,225,243,236,–,–,–,–,–,–,–,–,75,104,77,–,–,–,–,–,–,–,–,23,20,25,–,–,–,–,89,77,77,101,98,124,102
EAST LYNN ELEMENTARY SCHOOL,West Virginia,5401100,East Lynn Elementary School,Wayne County,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,124,127,134,129,127,155,151,158,146,155,156,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,85,108,108,138,91,116,113
EAST PARK ELEMENTARY SCHOOL,West Virginia,5400552,East Park Elementary School,Marion County,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,321,318,330,322,335,348,351,308,312,296,282,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,196,212,212,212,210,177,162
EAST VALLEY HIGH SCHOOL,WEST VIRGINIA,5401632,East Valley High School,Wetzel County,42-Rural: Distant,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
EASTBROOK ELEMENTARY SCHOOL,West Virginia,5401301,Eastbrook Elementary School,Putnam County,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,255,267,246,223,239,248,266,257,267,264,311,–,–,–,–,–,–,–,–,95,99,96,–,–,–,–,–,–,–,–,14,7,14,–,–,–,–,93,136,136,117,109,106,110
EASTERN GREENBRIER MIDDLE SCHOOL,West Virginia,5400050,Eastern Greenbrier Middle School,Greenbrier County,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,685,657,732,789,818,790,758,767,777,801,869,–,–,–,–,–,–,–,–,368,338,357,–,–,–,–,–,–,–,–,70,48,75,–,–,–,–,387,355,355,390,438,386,432
EASTERN PANHANDLE PREPARATORY ACADEMY,WEST VIRGINIA,5401604,Eastern Panhandle Preparatory Academy,Jefferson County,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,†,†,†,†,†,†,†,229,374,321,†,†,†,†,†,†,†,†,–,–,–,†,†,†,†,†,†,†,†,–,–,–,†,†,†,†,†,†,†,†,–,–,–,†,†,†,†,†,†,†,†
EASTWOOD ELEMENTARY SCHOOL,West Virginia,5401490,Eastwood Elementary School,Monongalia County,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,642,635,586,592,568,623,660,686,678,665,619,–,–,–,–,–,–,–,–,226,245,196,–,–,–,–,–,–,–,–,50,30,44,–,–,–,–,205,283,282,299,276,275,240
EDGEWOOD ELEMENTARY,West Virginia,5401499,Edgewood Elementary,Kanawha County,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,413,372,362,384,386,403,451,446,441,473,461,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,283,330,330,334,271,314,312
EDISON MIDDLE SCHOOL,West Virginia,5401148,Edison Middle School,Wood County,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,551,568,575,578,620,634,658,624,650,610,628,–,–,–,–,–,–,–,–,297,301,307,–,–,–,–,–,–,–,–,33,40,36,–,–,–,–,347,320,320,358,330,341,343
ELK ELEMENTARY CENTER,West Virginia,5400060,Elk Elementary Center,Kanawha County,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,475,479,491,494,513,518,516,541,514,526,543,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,275,263,263,291,227,249,246
ELK GARDEN SCHOOL,West Virginia,5401346,Elk Garden School,Mineral County,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,66,72,74,63,77,85,82,84,83,77,91,–,–,–,–,–,–,–,–,–,–,55,–,–,–,–,–,–,–,–,–,–,7,–,–,–,–,41,40,40,58,48,34,62
ELKINS HIGH SCHOOL,West Virginia,5400662,Elkins High School,Randolph County,33-Town: Remote,33-Town: Remote,33-Town: Remote,33-Town: Remote,33-Town: Remote,33-Town: Remote,33-Town: Remote,33-Town: Remote,33-Town: Remote,33-Town: Remote,33-Town: Remote,747,740,783,792,795,798,796,823,822,833,808,–,–,–,–,–,–,–,–,–,293,246,–,–,–,–,–,–,–,–,–,57,65,–,–,–,–,313,294,294,349,205,350,311
ELKINS MIDDLE SCHOOL,West Virginia,5400996,Elkins Middle School,Randolph County,33-Town: Remote,33-Town: Remote,33-Town: Remote,33-Town: Remote,33-Town: Remote,33-Town: Remote,33-Town: Remote,33-Town: Remote,33-Town: Remote,33-Town: Remote,33-Town: Remote,615,600,569,566,623,612,635,605,631,629,647,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,258,285,285,271,211,245,228
ELKINS MOUNTAIN SCHOOL,West Virginia,†,†,†,†,†,†,33-Town: Remote,33-Town: Remote,33-Town: Remote,33-Town: Remote,33-Town: Remote,33-Town: Remote,33-Town: Remote,33-Town: Remote,†,†,†,44,36,0,†,–,57,48,60,†,†,†,–,–,–,–,–,47,45,57,†,†,†,–,–,–,–,–,0,0,0,†,†,†,–,16,23,23,–,47,45,57
ELKINS THIRD WARD ELEMENTARY SCHOOL,West Virginia,5401010,Elkins Third Ward Elementary School,Randolph County,33-Town: Remote,33-Town: Remote,33-Town: Remote,33-Town: Remote,33-Town: Remote,33-Town: Remote,33-Town: Remote,33-Town: Remote,33-Town: Remote,33-Town: Remote,33-Town: Remote,318,299,305,296,296,316,295,322,326,306,320,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,187,170,170,189,142,138,138
ELKVIEW MIDDLE SCHOOL,West Virginia,5400390,Elkview Middle School,Kanawha County,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,621,636,613,594,601,615,608,637,631,701,717,–,–,–,–,–,–,–,–,–,314,323,–,–,–,–,–,–,–,–,–,35,37,–,–,–,–,293,291,291,327,197,349,360
ELLENBORO ELEMENTARY,West Virginia,†,†,†,†,†,†,†,†,†,†,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,†,†,†,†,†,†,†,104,106,112,123,†,†,†,†,†,†,†,–,–,–,–,†,†,†,†,†,†,†,–,–,–,–,†,†,†,†,†,†,†,47,33,45,33
ELM GROVE ELEMENTARY SCHOOL,West Virginia,5400857,Elm Grove Elementary School,Ohio County,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,299,305,330,333,351,338,348,359,373,403,437,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,217,204,204,210,191,227,223
EMERSON ELEMENTARY SCHOOL,West Virginia,5401149,Emerson Elementary School,Wood County,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,361,407,428,432,417,321,356,367,352,352,352,–,–,–,–,–,–,–,–,–,209,190,–,–,–,–,–,–,–,–,–,16,27,–,–,–,–,237,197,197,226,164,225,217
EVANS ELEMENTARY SCHOOL,West Virginia,5400328,Evans Elementary School,Jackson County,42-Rural: Distant,42-Rural: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,147,162,137,141,143,166,171,183,190,173,166,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,36,52,52,75,54,64,44
EVOLUTION HIGH SCHOOL,West Virginia,5401469,Evolution High School,Harrison County,41-Rural: Fringe,41-Rural: Fringe,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,53,30,27,12,21,28,35,25,26,29,23,–,–,–,–,–,–,–,–,–,–,20,–,–,–,–,–,–,–,–,–,–,0,–,–,–,–,16,23,23,13,15,16,20
EVOLUTION MIDDLE SCHOOL,WEST VIRGINIA,5401514,Evolution Middle School,Harrison County,41-Rural: Fringe,41-Rural: Fringe,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,6,9,7,3,3,8,19,15,9,9,0,–,–,–,–,‡,‡,–,–,5,6,0,–,–,–,–,‡,‡,–,–,0,0,0,–,–,–,–,‡,‡,13,12,5,6,0
EXCEL CENTER,WEST VIRGINIA,5401620,EXCEL Center,Monongalia County,41-Rural: Fringe,41-Rural: Fringe,†,†,†,†,†,†,†,†,†,51,†,†,†,†,†,†,†,†,†,†,–,†,†,†,†,†,†,†,†,†,†,–,†,†,†,†,†,†,†,†,†,†,–,†,†,†,†,†,†,†,†,†,†
EXPLORER ACADEMY,WEST VIRGINIA,5401517,Explorer Academy,Cabell County,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,†,373,379,406,439,475,495,470,491,486,463,†,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,268,265,265,293,248,267,–
FAIRDALE ELEMENTARY SCHOOL,West Virginia,5400954,Fairdale Elementary School,Raleigh County,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,387,399,418,409,377,462,498,475,472,475,486,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,203,251,251,252,235,226,209
FAIRMONT SENIOR HIGH SCHOOL,West Virginia,5400553,Fairmont Senior High School,Marion County,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,835,779,821,809,797,799,819,842,812,811,786,–,–,–,–,–,–,–,–,333,315,268,–,–,–,–,–,–,–,–,54,54,48,–,–,–,–,315,333,333,354,387,369,316
FAIRPLAIN ELEMENTARY SCHOOL,West Virginia,5400329,Fairplain Elementary School,Jackson County,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,41-Rural: Fringe,152,168,168,164,179,182,188,187,220,222,216,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,82,79,79,102,88,117,104
FAIRPLAINS ELEMENTARY SCHOOL,West Virginia,5401150,Fairplains Elementary School,Wood County,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,160,162,167,180,207,224,215,214,217,233,220,–,–,–,–,–,–,–,–,–,192,168,–,–,–,–,–,–,–,–,–,12,17,–,–,–,–,168,155,155,180,156,204,185
FAIRVIEW ELEMENTARY SCHOOL,West Virginia,5400554,Fairview Elementary School,Marion County,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,131,135,130,142,139,156,169,171,178,171,186,–,–,–,–,–,–,–,–,88,89,83,–,–,–,–,–,–,–,–,19,17,20,–,–,–,–,84,89,89,97,107,106,103
